{'episode': 138, 'reward': 252.90000000000006, 'avg_reward': np.float64(339.96699999999987), 'epsilon': np.float64(0.5155287661281851), 'max_position': 88, 'steps': 501}
{'episode': 139, 'reward': 241.39999999999998, 'avg_reward': np.float64(340.782), 'epsilon': np.float64(0.5130024008392645), 'max_position': 88, 'steps': 501}
{'episode': 140, 'reward': 1153.2000000000003, 'avg_reward': np.float64(351.56699999999995), 'epsilon': np.float64(0.5117414479710183), 'max_position': 197, 'steps': 251}
{'episode': 141, 'reward': 1142.2000000000003, 'avg_reward': np.float64(361.23999999999984), 'epsilon': np.float64(0.5106188049571532), 'max_position': 198, 'steps': 224}
{'episode': 142, 'reward': 1164.2000000000003, 'avg_reward': np.float64(370.9539999999999), 'epsilon': np.float64(0.509159130208958), 'max_position': 197, 'steps': 292}
{'episode': 143, 'reward': 246.29999999999967, 'avg_reward': np.float64(371.17399999999986), 'epsilon': np.float64(0.5066645969900752), 'max_position': 70, 'steps': 501}
{'episode': 144, 'reward': 192.29999999999984, 'avg_reward': np.float64(371.20899999999995), 'epsilon': np.float64(0.5041825301283185), 'max_position': 72, 'steps': 501}
{'episode': 145, 'reward': 257.1000000000001, 'avg_reward': np.float64(371.55199999999996), 'epsilon': np.float64(0.5017128673234317), 'max_position': 154, 'steps': 501}
{'episode': 146, 'reward': 1185.3000000000002, 'avg_reward': np.float64(381.32000000000005), 'epsilon': np.float64(0.49995078296365925), 'max_position': 197, 'steps': 359}
{'episode': 147, 'reward': 242.39999999999966, 'avg_reward': np.float64(381.515), 'epsilon': np.float64(0.49750226819200927), 'max_position': 70, 'steps': 501}
{'episode': 148, 'reward': 173.29999999999978, 'avg_reward': np.float64(380.92400000000004), 'epsilon': np.float64(0.4950659898016357), 'max_position': 72, 'steps': 501}
{'episode': 149, 'reward': 237.09999999999968, 'avg_reward': np.float64(381.245), 'epsilon': np.float64(0.4926418866415793), 'max_position': 70, 'steps': 501}
{'episode': 150, 'reward': 252.00000000000003, 'avg_reward': np.float64(381.67199999999997), 'epsilon': np.float64(0.49022989786648113), 'max_position': 88, 'steps': 501}
{'episode': 151, 'reward': 241.19999999999965, 'avg_reward': np.float64(382.22899999999987), 'epsilon': np.float64(0.48782996293505504), 'max_position': 70, 'steps': 501}
{'episode': 152, 'reward': 241.5999999999998, 'avg_reward': np.float64(382.41999999999985), 'epsilon': np.float64(0.4854420216085684), 'max_position': 70, 'steps': 501}
{'episode': 153, 'reward': 238.49999999999972, 'avg_reward': np.float64(382.5229999999999), 'epsilon': np.float64(0.4830660139493296), 'max_position': 70, 'steps': 501}
{'episode': 154, 'reward': 1158.1000000000004, 'avg_reward': np.float64(392.0889999999999), 'epsilon': np.float64(0.48179045848644114), 'max_position': 198, 'steps': 270}
